ID,ID_String,Twitter_Name,Twitter_Username,Location,followers_count,friends_count,listed_count,created_at,favourites_count,favourites_count,verified,statuses_count
1487971129738219500,1487971129738219521,Odip Kumar,KumarOdip,,278,1816,22,Mon Jan 31 02:09:47 +0000 2022,570,570,false,1061
2998968634,2998968634,InvestME,ivestME,Polska,7,203,3,Mon Jan 26 00:32:51 +0000 2015,74,74,false,156
1471215722437259300,1471215722437259271,Paweł,PavloRy07,"Gdańsk, Polska",134,1456,9,Wed Dec 15 20:29:21 +0000 2021,1228,1228,false,2315
1365770936461504500,1365770936461504519,Nil Dufman,DufmanNil,,108,4093,3,Sat Feb 27 21:09:10 +0000 2021,143,143,false,4718
1306110075665227800,1306110075665227776,SinTong 🇮🇩,BSiancu,,592,4998,5,Wed Sep 16 05:58:19 +0000 2020,10749,10749,false,22645
344626123,344626123,Ciudadano Mx1,CiudadanoMx1,En el ombligo de la luna.,10935,11276,17,Fri Jul 29 10:21:53 +0000 2011,838,838,false,2104
1448741191365845000,1448741191365844999,Drago K,DragoK18,,66,529,7,Thu Oct 14 20:04:56 +0000 2021,3614,3614,false,827
1372967520324444200,1372967520324444167,Noname8604,Noname8604,,281,1624,4,Fri Mar 19 17:45:50 +0000 2021,5944,5944,false,5512
1472357489165353000,1472357489165352960,Wiola,Violette_B_,,1,202,0,Sun Dec 19 00:06:05 +0000 2021,49,49,false,133
1520312004334207000,1520312004334206976,mithrandir,mithrandirjun,,12,45,0,Sat Apr 30 08:00:14 +0000 2022,40,40,false,46
1444058147853901800,1444058147853901824,victoria 🐮,victori15028278,,162,2175,1,Fri Oct 01 21:54:48 +0000 2021,2115,2115,false,4532
1513051860051312600,1513051860051312643,James,James123518,,61,863,1,Sun Apr 10 07:11:05 +0000 2022,3,3,false,1
1056069176757051400,1056069176757051393,pokus.eth,mennancelik4,Türkiye,279,2201,6,Sat Oct 27 06:24:47 +0000 2018,9511,9511,false,2066
1476457500899696600,1476457500899696643,Marcin,Marcin319,,90,264,0,Thu Dec 30 07:38:00 +0000 2021,259,259,false,384
1496832137898578000,1496832137898577923,sara christian,sarachr23048659,,53,437,0,Thu Feb 24 12:59:44 +0000 2022,117,117,false,363
1437145858139697200,1437145858139697152,Cryptonite🌖,Cryp70n1t3,,125,635,1,Sun Sep 12 20:08:02 +0000 2021,895,895,false,1738
3086738692,3086738692,Bamigboye Opeyemi,bamigboyeopeye2,"Delta, Nigeria",317,3745,7,Wed Mar 11 12:57:37 +0000 2015,2293,2293,false,3667
1500523499554852900,1500523499554852869,Crypto Conan,Conan_Cry,"The Hague, The Netherlands",5,61,0,Sun Mar 06 17:28:07 +0000 2022,165,165,false,152
1405548864619171800,1405548864619171840,Ragu,Ragu05250637,,131,4512,13,Thu Jun 17 15:32:32 +0000 2021,713,713,false,1855
1380184816365170700,1380184816365170698,Mohtasim Ali,MohtasimAli31,"Kolkata, India",7,277,1,Thu Apr 08 15:45:05 +0000 2021,114,114,false,338
1451842794176270300,1451842794176270337,Uman Ebread,UmanEbread,,1,24,0,Sat Oct 23 09:28:04 +0000 2021,3,3,false,15
1031858241955946500,1031858241955946496,Piotr,007_piotr,Poland,90,965,3,Tue Aug 21 10:59:10 +0000 2018,1705,1705,false,2714
1371044900645507000,1371044900645507074,Maciek,Maciek68165253,,881,4433,4,Sun Mar 14 10:26:06 +0000 2021,27491,27491,false,20841
1397229788658548700,1397229788658548738,Ryshard,Ryshard14,United Kingdom,56,208,5,Tue May 25 16:35:32 +0000 2021,1624,1624,false,614
1519188468546805800,1519188468546805760,Labu,Labu505,,59,2313,0,Wed Apr 27 05:35:39 +0000 2022,185,185,false,581
4787932893,4787932893,Bartłomiej Klama,BartKlama,"Sosnowiec, Polska",22,209,2,Tue Jan 12 21:44:16 +0000 2016,109,109,false,235
1515355304187371500,1515355304187371524,demure,demure99339365,,4,26,0,Sat Apr 16 15:44:19 +0000 2022,14,14,false,28
1452174245308493800,1452174245308493829,SATYAJITDAS,SATYAJITDAS737,,4,597,2,Sun Oct 24 07:25:03 +0000 2021,464,464,false,700
1361745555286810600,1361745555286810629,BogolCrypto,Brodatamorda,,5,45,1,Tue Feb 16 18:33:49 +0000 2021,34,34,false,97
1530440387575582700,1530440387575582720,luyi0923（互关）,luyi0923,,12,3,0,Sat May 28 06:46:48 +0000 2022,0,0,false,1
1033379146401894400,1033379146401894401,Mehedi hasan,ItMehedi006,"Dhaka, Bangladesh",667,2649,6,Sat Aug 25 15:42:42 +0000 2018,2888,2888,false,1315
977575469896773600,977575469896773632,shivyd11☃,shivyd113,,28,534,0,Sat Mar 24 15:58:49 +0000 2018,677,677,false,316
1409921632781553700,1409921632781553668,Diệp Chi 21,Diepchi2x,"Hà Nội, Việt Nam",110,4993,19,Tue Jun 29 17:08:15 +0000 2021,2343,2343,false,2240
1475408542098100200,1475408542098100225,steph30,stephwarriors2,,46,221,1,Mon Dec 27 10:09:51 +0000 2021,154,154,false,189
1231006057952006100,1231006057952006144,lingdangly,lingdangly,,37,490,4,Sat Feb 22 00:01:40 +0000 2020,95,95,false,154
1374926583241171000,1374926583241170962,Ikin.Doa,Ikin70529206,Jawa barat,56,2810,14,Thu Mar 25 03:30:33 +0000 2021,3068,3068,false,3840
884656622,884656622,kerem,CnKerem,,841,472,0,Tue Oct 16 15:22:15 +0000 2012,350,350,false,232
3070721758,3070721758,Damex*,Damex29,,9,204,0,Wed Mar 04 19:55:41 +0000 2015,64,64,false,271
1931932080,1931932080,Sujit Ghosh,sujit0651,"Jharkhand, India",11,321,0,Thu Oct 03 20:26:21 +0000 2013,262,262,false,483
